tweet_id,favorites,retweet_count
852912242202992640,8741,1738
852672615818899456,14463,2072
852553447878664193,15815,3332
852311364735569921,32162,9557
852226086759018497,19423,6587
852189679701164033,11140,1531
851861385021730816,0,19
851591660324737024,15824,3336
851464819735769094,23603,6810
851224888060895234,20155,5540
850753642995093505,29991,8789
850380195714523136,12767,2517
850333567704068097,3376,315
850145622816686080,15934,3668
850019790995546112,19910,4706
849776966551130114,29659,7331
849668094696017920,0,4789
849412302885593088,15495,3055
849336543269576704,11157,1840
849051919805034497,41348,8213
848690551926992896,24623,4194
848324959059550208,24163,4486
848213670039564288,7995,704
848212111729840128,15970,2939
847978865427394560,0,3158
847971574464610304,0,420
847962785489326080,23035,4917
847842811428974592,5327,1286
847617282490613760,6844,402
847606175596138505,18400,3336
847251039262605312,20092,4204
847157206088847362,19504,5708
847116187444137987,21055,3097
846874817362120707,19704,3821
846514051647705089,43722,11218
846505985330044928,13835,2988
846153765933735936,30984,8796
846139713627017216,30477,9779
846042936437604353,15684,2787
845812042753855489,28678,8456
845677943972139009,24752,4682
845397057150107648,7490,1752
845306882940190720,22937,5260
845098359547420673,0,7464
844979544864018432,13414,2489
844973813909606400,14825,3100
844580511645339650,16204,3044
844223788422217728,13453,2148
843981021012017153,14949,2888
843856843873095681,21122,4520
843604394117681152,16626,2683
843235543001513987,21202,5889
842846295480000512,15075,3560
842765311967449089,6636,1248
842535590457499648,17858,3437
842163532590374912,24092,5666
842115215311396866,13795,2974
841833993020538882,0,14750
841680585030541313,25409,7663
841439858740625411,12484,3609
841320156043304961,19562,5402
841314665196081154,15661,4553
841077006473256960,22569,5211
840761248237133825,0,1734
840728873075638272,0,15799
840698636975636481,173,2
840696689258311684,12141,954
840632337062862849,8889,1734
840370681858686976,16251,4475
840268004936019968,19044,5619
839990271299457024,13274,2237
839549326359670784,27154,7623
839290600511926273,0,140
839239871831150596,26828,6426
838952994649550848,19448,3927
838921590096166913,11027,2020
838916489579200512,0,34
838831947270979586,0,10830
838561493054533637,10849,1316
838476387338051585,22265,4698
838201503651401729,0,9888
838150277551247360,1655,325
838085839343206401,139,1
838083903487373313,17443,3082
837820167694528512,33748,7739
837482249356513284,3824,437
837471256429613056,12664,2238
